,isbn,rating_count
729,226260119,36
730,807833959,42
731,393097935,86
732,716723271,232
733,472068911,11
734,048624511X,549
735,1563410087,508
736,375714596,692
737,899422357,124
738,932379796,675
739,192801368,183
740,972707204,30
741,140314504,1063
742,3862520021,248
743,050028895X,401
744,805080287,298
745,546399401,447
746,1899749306,160
747,874411033,2618
748,613531833,21
749,974664812,79
750,919618200,84
751,824793978,14
752,226743411,1453
753,226743438,1247
754,671721054,1263
755,312573375,400
756,891099441,386
757,965590178,64
758,1593600569,88
759,689849109,78955
760,1591023521,84
761,811813371,34
762,1568821654,79
763,8756795459,21470
764,1840680873,207
765,1604692340,434
766,1593620624,688
767,586063226,1606
768,1582346437,9728
769,1426880138,37
770,1575025353,22
771,1897304242,182
772,1582404607,1510
773,140033270,278
774,199546533,3
775,1889236500,280
776,618494782,3208
777,1889609110,305
778,156421356,19100
779,740745328,681
780,198720246,22
781,60936991,1065
782,590744070,84
783,451174836,43
784,486205282,173
785,226808386,305
786,193561844X,167
787,711222363,141
788,230223346,23
789,1594160066,8
790,486227170,9
791,8770557527,259
792,471770884,14367
793,60959207,658
794,1550460641,4
795,1401211356,1637
796,231131488,42
797,1844571424,132
798,520212940,221
799,140376283,1565
800,375838732,2178
801,140120904,3481
802,415291836,43
803,043402080X,92790
804,321709330,428
805,9054961503,89
806,224008048,1773
807,262515792,154
808,792273737,46
809,1616382066,236
810,078690738X,33
811,786906723,108
812,880388838,26
813,373177119,272
814,486250644,65
815,321329503,67
816,038531129X,17053
817,155061399,37
818,073520019X,981
819,1608860515,108
820,760326886,32
821,440413478,576
822,814727689,279
823,140123108X,299
824,1558532374,30
825,810938529,27
826,712664564,5547
827,525244654,3984
828,373803281,7414
829,145164311X,4544
830,895944111,129
831,895948079,20
832,60088303,1460
833,1858683688,14
834,895945967,7
835,1408130742,14
836,895948621,3
837,691130019,743
838,037379598X,209
839,1400069122,7770
840,1433522268,2660
841,1438435568,33
842,161626506X,252
843,1602607613,517
844,1602601674,886
845,1602607842,1054
846,756682142,92
847,805083499,163
848,1416935711,14214
849,500280401,28
850,810939533,98
851,1907486755,22
852,345314336,151
853,8120328795,1261
854,1857446496,71
855,131499068,91
856,1935429434,921
857,152047255,685
858,1579128599,277
859,1560851031,52
860,1584799102,206
861,811215326,4977
862,1402255950,177
863,966408101,5
864,1847396267,5970
865,861713621,51
866,553803549,6270
867,470944560,173
868,823025845,33
869,373442351,34
870,373442475,47
871,1607051974,151
872,520267311,30
873,743453190,774
874,552547387,1019
875,1846272211,191
876,8883952588,9
877,9041700064,2257
878,684838508,235
879,886778441,15007
880,300169337,112
881,1419930397,960
882,893144177,103
883,1566472083,6
884,62515918,224
885,399225072,2114
886,373876513,70
887,802449840,98
888,1440512620,173
889,330267663,40
890,373795971,91
891,802780849,486
892,1433522063,1317
893,942018133,87
894,658021559,109
895,8489897581,6
896,62509349,284
897,615429017,40
898,1176928961,17
899,1591430089,31
900,373876610,176
901,1595581367,472
902,1605293091,83
903,081425036X,33
904,373730829,505
905,316857661,213
906,1903300835,5
907,1439101701,1480
908,1450743706,1118
909,240813359,45
910,890511594,85
911,1607063077,9468
912,759550077,497
913,1451625847,8921
914,1588462560,55
915,1588468623,227
916,4862529127,123
917,1584300450,149
918,1559635886,46
919,1433513889,56
920,394714121,1000
921,158846248X,50
922,4770016182,111
923,037387426X,129
924,312928157,301
925,373873697,5064
926,802138322,285
927,373874375,153
928,373873360,132
929,404874075X,249
930,312241755,397
931,373874448,149
932,092527917X,145
933,2070417646,5268
934,801856353,73
935,152049320,456
936,801861640,69
937,1583940081,135
938,1848609930,40
939,439194040,5168
940,1859842437,29
941,131955462,41
942,1401308848,217
943,805081275,341
944,786947438,85
945,964311273X,47
946,047076905X,272
947,300119631,77
948,819571407,227
949,945774397,190
950,748613498,63
951,1855841797,26
952,886779065,14760
953,1571743758,10
954,140178678,652
955,1844154653,1039
956,158314661X,18
957,684855682,510
958,1590512057,835
959,618883029,9103
960,142216389X,604
961,231075391,61
962,231113676,35
963,374299137,351
964,521645840,194
965,1420112422,218
966,809599171,2135
967,1843910942,728
968,1573926809,57
969,813123941,64
970,373067704,48
971,8954230016,308
972,7157169,43550
973,786023600,2395
974,1561581259,193
975,743411692,4833
976,451072952,12
977,1583332650,143
978,373177097,170
979,373177100,147
980,415903858,36
981,1439183112,3064
982,641645473,13174
983,810984652,1529
984,1906958173,114
985,7157177,32920
986,425210235,2089
987,948695412,21
988,811210952,27
989,093120173X,8
990,1608190080,549
991,1933253029,1
992,312562012,66
993,674016335,85
994,1580085369,142
995,874749530,11
996,159874058X,21
997,075910249X,43
998,1856045749,13
999,1564786293,37
1000,1559220635,182
1001,141004851,191
1002,415071674,21
1003,1856044858,6
1004,425242730,1013
1005,803613350,114
1006,974709905,21
1007,553298372,33
1008,1594203040,2304
1009,1411641957,36
1010,664233767,43
1011,823047733,57
1012,300111398,80
1013,984308210,8
1014,022409114X,182
1015,786957972,91
1016,786955333,85
1017,345516079,893
1018,1933113537,75
1019,810834987,31
1020,709148984,221
1021,1406737852,14
1022,1609283236,371
1023,856408573,18
1024,807833886,16
1025,517881292,411
1026,980253411,8
1027,60825391,9571
1028,184317524X,1040
1029,155468868X,250
1030,7208650,59
1031,1580051219,611
1032,73386332,100
1033,1118004574,890
1034,1153665107,21
1035,785155430,76
1036,393706966,180
1037,425243168,2630
1038,425176401,193
1039,1847801560,56
1040,618254110,3842
1041,1408810255,440
1042,1605293202,369
1043,023074818X,2361
1044,081447926X,336
1045,373731043,550
1046,1848130058,117
1047,451216768,6786
1048,785148914,1424
1049,9380658674,22672
1050,8879835297,83
1051,1413312802,107
1052,1153701499,84
1053,736938613,1897
1054,1565046196,18
1055,713999349,1761
1056,803259883,90
1057,1423600029,232
1058,070061768X,5
1059,1770890084,421
1060,786948086,146
1061,807834254,7
1062,6131831572,48
1063,892966866,1446
1064,1556348029,49
1065,380731770,2414
1066,333336380,24
1067,312362919,27279
1068,1580087590,1060
1069,1597896470,2992
1070,1581805632,90
1071,871164175,36
1072,375727361,7982
1073,000692526X,17197
1074,898865867,62
1075,413463001,41
1076,380805294,3777
1077,231149867,16
1078,848734459,111
1079,373806698,119
1080,1452000255,166
1081,385333285,2522
1082,1859840159,548
1083,849398134,8
1084,194313425,372
1085,1440308276,13
1086,1932735062,147
1087,1920468129,1107
1088,631191887,162
1089,1426891199,1394
1090,7394764,54
1091,805209395,36
1092,545279429,156
1093,199740542,70
1094,1844035085,155
1095,1849690669,27
1096,393025608,333
1097,820327484,47
1098,159307624X,154
1099,816745242,173
1100,9896150990,124
1101,449006581,1743
1102,385340443,2822
1103,1930074131,404
1104,1554074746,17
1105,813343607,78
1106,470638699,1119
1107,786867876,1208
1108,1848138075,7
1109,761459464,295
1110,929712587,54
1111,300136609,85
1112,826333427,55
1113,306819279,3938
1114,61915319,848
1115,1934031445,12
1116,1570756384,28
1117,1403973946,80
1118,1403961530,270
1119,802807038,54
1120,440238455,675
1121,1172314128,18
1122,1843910020,3228
1123,593050541,1809
1124,525421904,252
1125,141195932,4055
1126,1421555530,360
1127,262700204,147
1128,802136834,66352
1129,8879282395,1549
1130,143918822X,700
1131,316180998,7806
1132,785146237,2123
1133,470821574,20
1134,156005441,398
1135,312352182,11450
1136,803726511,1037
1137,1572812850,25
1138,873325591,6
1139,811200809,307
1140,1118018419,228
1141,316103985,1758
1142,9023993284,110
1143,226391132,152
1144,596527209,69
1145,345407865,15060
1146,2868698816,281
1147,596007604,168
1148,857153870,530
1149,143038044,1080
1150,1426200528,36
1151,2851978047,4470
1152,60837330,1681
1153,373892322,2612
1154,1616082747,383
1155,2868697801,7507
1156,1770460489,4738
1157,038553504X,25133
1158,143918951X,2537
1159,528965441,24
1160,736853596,12
1161,822336448,14
1162,1437714455,100
1163,60956852,10544
1164,500284679,77
1165,312194390,26959
1166,895948222,37
1167,895949326,26
1168,1856695050,44
1169,385425139,11279
1170,861713575,539
1171,753806800,284
1172,373534418,669
1173,1569313911,51
1174,1903644011,0
1175,1898307237,17
1176,439103975,1842
1177,761551905,25
1178,446698210,2133
1179,1594932212,391
1180,073871285X,66
1181,034543708X,13925
1182,076154044X,46
1183,736926925,237
1184,691147507,424
1185,761544291,17
1186,500014221,92
1187,816633126,12
1188,038547993X,49
1189,1575603829,745
1190,1591583063,5
1191,755372034,1685
1192,761530843,45
1193,525952241,15946
1194,1596682558,40
1195,1936070901,292
1196,500512159,83
1197,097023130X,585
1198,123820944,128
1199,226123162,308
1200,373796005,75
1201,28718860,25
1202,500238812,24
1203,373795998,55
1204,1847082416,30
1205,085715463X,360
1206,085715480X,259
1207,857154850,1568
1208,61845256,467
1209,138221227,55
1210,684872986,1582
1211,78025281,36
1212,1607181231,44
1213,1595722610,14
1214,1605478555,26
1215,1401206336,197
1216,263886417,307
1217,1439193312,5008
1218,373730799,193
1219,373730780,172
1220,373730810,61
1221,520219244,682
1222,067945666X,66
1223,140287566,94
1224,1591169909,18042
1225,744578612,12
1226,1901983951,12
1227,076244133X,92
1228,449142442,10
1229,1582437157,175
1230,975442708,41
1231,3937946268,56
1232,1442406003,142
1233,1885670761,20
1234,415773873,11
1235,1894981995,9
1236,670037788,10245
1237,765301644,103
1238,1592406238,1572
1239,931462436,5
1240,3283004595,11
1241,1557258791,64
1242,1857883497,341
1243,2843238978,14
1244,310256526,81
1245,300091273,2609
1246,1890208817,22
1247,1561586447,135
1248,330353829,19629
1249,374175063,369
1250,7508506138,9
1251,446582115,730
1252,1602822301,347
1253,20016700,62
1254,60182989,12846
1255,1569243778,674
1256,1571451811,25
1257,1104900459,110
1258,1886873097,20
1259,879101180,188
1260,1444724258,8900
1261,5425030851,1195
1262,3150000165,376
1263,316473049,3129
1264,425240975,893
1265,345519493,22605
1266,1592536581,16
1267,984498125,757
1268,9710090662,509
1269,1596683007,62
1270,715338439,115
1271,373210302,12374
1272,1575056577,368
1273,1564786412,41
1274,231060041,8
